Scan_ID,Subj_ID,Gender,Age1,Age2,Group,SubGrp,A_NoDoub_mean_abs,O_CenSpat_mean_abs,C_InconCon_mean_abs,A_NoDoub_mean_rate,O_CenSpat_mean_rate,C_InconCon_mean_rate,RT_Con_No_mean,RT_Con_Cent_mean,RT_Con_Doub_mean,RT_Con_Spat_mean,RT_Incon_No_mean,RT_Incon_Cent_mean,RT_Incon_Doub_mean,RT_Incon_Spat_mean,ACC_Con_No,ACC_Con_Cent,ACC_Con_Doub,ACC_Con_Spat,ACC_Incon_No,ACC_Incon_Cent,ACC_Incon_Doub,ACC_Incon_Spat,ACC_mean,NoRespFreq,CleanFreq,RT_NoCue_mean,RT_CentCue_mean,RT_DoubCue_mean,RT_SpatCue_mean,RT_Cong_mean,RT_Incong_mean
16-11-13.4SWUA,102,2,19.90958904,20,SWUA,SWUA,27.4321,7.1875,96.0927,27.4321,7.1875,96.0927,520.375,517.1875,483.1875,511.125,648.8125,577.75,606.4375,577.125,1,1,1,1,1,1,1,1,1,0,0.0125,550.9112,517.75,523.4792,510.5625,501.0806,597.1734
16-10-20.1SWUA,51,1,19.93972603,20,SWUA,SWUA,51.8371,33.5897,34.8644,63.7426,33.5897,42.6724,497.9375,441.0625,463.875,420.6875,499.9554,481.5625,470.75,470,1,1,1,1,0.9375,1,1,1,0.99219,0.010417,0.028125,496.4242,451.8732,444.5871,418.2835,445.8871,480.7515
16-10-16.2SWUA,49,2,19.99178082,20,SWUA,SWUA,59.5136,30.6856,17.8905,69.128,22.0433,18.1506,459.75,403.75,384,369.7768,450.25,406,421.5,391,1,1,1,0.9375,0.9375,1,1,1,0.98438,0.0052083,0.021875,451.8261,418.9792,392.3125,388.2936,398.9417,416.8322
16-12-11.1SWUA,131,2,19.99178082,20,SWUA,SWUA,34.3877,1.2704,84.6989,44.9094,-9.0121,93.2849,472.375,446.3125,468.875,447.25,600.4375,527.5268,529.875,536.0625,1,1,1,1,1,0.9375,1,1,0.99219,0.010417,0.034375,504.5208,471.7799,470.1332,470.5095,451.4194,536.1183
16-09-25.8SWUA,28,2,19.99726027,20,SWUA,SWUA,63.2742,-7.3012,55.0727,-12.8261,28.8674,180.6119,577.9405,510.5714,559.7679,462.875,616.8429,542.4167,614.3393,536.25,0.8125,0.8125,0.9375,1,0.75,0.75,0.6875,0.8125,0.82031,0.13542,0.19687,612.3045,481.383,549.0303,488.6842,511.0496,566.1223
16-09-24.2SWUA,14,1,20.01369863,20,SWUA,SWUA,75.769,-20.6739,16.8929,65.2671,-21.3989,17.4873,625.625,514,478.375,541.6071,565.375,533.0625,538.6875,559.4375,1,1,1,0.9375,1,0.9375,1,1,0.98438,0.015625,0.01875,579.5417,511.8288,503.7726,532.5027,532.4906,549.3836
16-11-05.5SWUA,77,2,20.01369863,20,SWUA,SWUA,43.298,32.0933,38.3177,34.3008,32.0933,45.474,441.3125,472.75,416.5625,411.875,515.6875,477.875,473.7768,425.8125,1,1,1,1,1,1,0.9375,1,0.99219,0,0.03125,464.587,438.2391,421.2889,406.1458,420.8865,459.2042
16-11-11.7SWUA,93,1,20.05205479,20,SWUA,SWUA,36.6504,19.904,33.0806,36.6504,39.9342,40.6629,468.75,461,446.6875,430.375,481.25,482.4196,468.0625,478.8125,1,1,1,1,1,0.9375,1,1,0.99219,0.010417,0.021875,473.7083,460.6957,437.058,440.7917,442.0161,475.0968
16-11-06.4SWUA,83,2,20.06027397,20,SWUA,SWUA,60.2576,-5.5685,68.6903,57.2709,59.7274,214.5704,538.5417,448.75,485.9792,502.25,604.4714,597.7714,546.0833,519.4167,0.875,0.5,0.875,0.9375,0.75,0.75,0.6875,0.5625,0.74219,0.21875,0.27188,556.4242,477.4222,496.1667,482.9907,484.9139,553.6042
16-10-09.5SWUA,47,1,20.08219178,20,SWUA,SWUA,36.4348,24.3512,51.4689,38.0189,-17.7236,21.918,589.3036,562.875,552.2143,554.0179,656.9375,616.25,604.4375,593.5625,0.9375,1,0.875,0.9375,0.9375,1,1,1,0.96094,0.020833,0.05,607.7609,578.0489,571.3261,553.6977,560.4989,611.9677
16-10-29.2SWUA,58,2,20.08219178,20,SWUA,SWUA,52.6495,28.981,52.5469,52.6495,28.981,52.5469,578.625,488.75,534.4375,467.125,606.5,574.625,561.625,536.375,1,1,1,1,1,1,1,1,1,0,0.00625,587.6911,521.25,535.0417,492.269,517.2344,569.7813
16-10-09.4SWUA,44,1,20.08493151,20,SWUA,SWUA,93.1857,8.3428,5.6042,107.1621,42.6176,23.2386,591.8125,544.9375,543.5,509.8125,619.6786,537.8839,574.1875,506.0625,1,1,1,1,0.9375,0.9375,1,1,0.98438,0.020833,0.034375,618.9565,513.1136,525.7708,504.7708,541.0625,546.6667
16-12-16.2SWUA,139,2,20.10684932,20,SWUA,SWUA,78.5574,8.9219,45.8762,136.5274,19.3763,74.4979,519.5089,466.5,494.5625,455.75,551.1042,509,505.5625,533.3393,0.9375,1,1,0.9375,0.875,0.875,1,0.9375,0.94531,0.041667,0.06875,549.0792,472.2263,470.5217,463.3043,472.6,518.4762
16-09-23.1SWUA,9,2,20.1260274,20,SWUA,SWUA,40.0613,15.6439,20.1212,-1.4626,26.5343,62.1113,485.6875,475,463.4375,475.25,515.125,515.125,501.6786,486.2143,1,1,1,1,1,0.9375,0.8125,0.9375,0.96094,0.0052083,0.059375,496.8243,473.75,456.763,458.1061,474.8438,494.9649
16-09-25.2SWUA,22,2,20.12876712,20,SWUA,SWUA,67.2921,11.8326,21.4677,132.0669,46.4002,10.0677,716.7292,603.5089,601.4107,601.5357,694.7,641.125,651.4643,616.3125,0.875,0.9375,0.9375,0.9375,0.8125,1,0.9375,1,0.92969,0.057292,0.0625,686.8849,623.8869,619.5928,612.0543,629.4363,650.904
16-09-25.5SWUA,25,2,20.16438356,20,SWUA,SWUA,43.4119,40.4483,9.5443,60.2129,78.0003,40.4015,515.25,497.8571,508.8125,481.6786,538,574.4286,493.8542,474.8125,1,0.875,1,0.9375,0.875,0.875,0.875,1,0.92969,0.046875,0.075,531.323,522.7457,487.9111,482.2973,501.5134,511.0577
16-11-06.2SWUA,81,1,20.22465753,20,SWUA,SWUA,50.9084,28.1281,38.9471,96.2519,2.0836,33.9814,577.7857,544.1875,574.25,540.5089,653.1696,591.125,570.75,583.7411,0.9375,0.9375,1,0.9375,0.9375,1,1,0.9375,0.96094,0.036458,0.046875,597.8214,572.2645,546.913,544.1364,560.3414,599.2885
16-12-17.3SWUA,144,2,20.26027397,20,SWUA,SWUA,66.4203,24.2597,66.6389,44.1984,15.4037,79.7295,544.8036,444.875,454.125,434.7917,573.5,520.9583,542.7857,507.9375,0.9375,1,1,0.875,1,0.875,0.875,1,0.94531,0.057292,0.06875,552.3696,473.25,485.9493,448.9903,464.2833,530.9222
16-11-12.2SWUA,95,2,20.28493151,20,SWUA,SWUA,46.2917,21.2611,73.0439,46.2917,21.947,80.8779,442.9375,426.1875,423.4375,430.75,553.1875,457.5625,518.4375,451.1786,1,1,1,1,1,1,1,0.9375,0.99219,0,0.01875,489.8542,436.269,443.5625,415.0079,423.1704,496.2142
16-11-11.3SWUA,88,2,20.35890411,20,SWUA,SWUA,52.3538,17.7058,32.1379,40.6681,41.0508,45.9901,589.8393,551.375,523.5089,522.5,641.3036,556.375,588.5625,541,0.9375,1,0.9375,1,0.9375,1,0.875,1,0.96094,0.026042,0.040625,597.5217,542.6433,545.168,524.9375,546.875,579.0129
16-10-08.1SWUA,34,1,20.49315068,20,SWUA,SWUA,-14.5045,13.9348,74.8417,-0.53847,3.4716,93.6017,479.8571,430.1875,436.625,432.625,519.6429,503.3125,562.7857,493.8482,0.9375,1,1,1,0.9375,1,0.9375,0.9375,0.96875,0.010417,0.040625,486.7174,450.2826,501.2219,436.3478,439.9583,514.8
16-10-29.5SWUA,62,2,20.49315068,20,SWUA,SWUA,24.2418,-1.8762,36.1129,37.2116,-27.0344,77.0145,585.5,547.875,552.9375,550.4375,606.3482,579.5,598.625,567.2738,1,1,1,1,0.9375,1,1,0.8125,0.96875,0.020833,0.0375,585.3252,542.1534,561.0833,544.0296,552.1129,588.2258
16-09-30.3SWUA,31,2,20.56986301,21,SWUA,SWUA,28.2083,29.5146,4.6349,-10.8393,-16.1948,4.7845,570.125,532.4375,526.1875,539.0714,579.9375,545.9375,545.1518,567.9911,1,1,1,0.875,1,1,0.9375,0.9375,0.96875,0.015625,0.05,556.6458,526.6033,528.4375,497.0886,542.0484,546.6833
16-11-11.2SWUA,87,2,20.57534247,21,SWUA,SWUA,79.5791,20.9224,49.1777,76.9436,34.6619,31.8132,533.4643,489,463.3214,456.5179,585.2679,497.6964,545.4286,464.6071,0.8125,0.875,0.9375,0.9375,0.9375,0.9375,0.875,0.9375,0.90625,0.057292,0.096875,572.5932,479.3098,493.0141,458.3874,473.27,522.4477
