Scan_ID,Subj_ID,Gender,Age1,Age2,Group,SubGrp,A_NoDoub_mean_abs,O_CenSpat_mean_abs,C_InconCon_mean_abs,A_NoDoub_mean_rate,O_CenSpat_mean_rate,C_InconCon_mean_rate,RT_Con_No_mean,RT_Con_Cent_mean,RT_Con_Doub_mean,RT_Con_Spat_mean,RT_Incon_No_mean,RT_Incon_Cent_mean,RT_Incon_Doub_mean,RT_Incon_Spat_mean,ACC_Con_No,ACC_Con_Cent,ACC_Con_Doub,ACC_Con_Spat,ACC_Incon_No,ACC_Incon_Cent,ACC_Incon_Doub,ACC_Incon_Spat,ACC_mean,NoRespFreq,CleanFreq,RT_NoCue_mean,RT_CentCue_mean,RT_DoubCue_mean,RT_SpatCue_mean,RT_Cong_mean,RT_Incong_mean
17-01-23.2SWUC,156,2,8.65,9,SWUC,SWUC,-8.5476,9.3325,10.3755,82.0595,-7.699,117.6593,692.2024,656,690.6667,693.5714,700.75,687.7321,723.5595,655.7667,0.8125,0.875,0.8125,0.875,0.5625,0.9375,0.8125,0.6875,0.79688,0.125,0.20313,691.6389,675.396,700.1865,666.0635,682.0179,692.3934
17-02-06.1SWUC,158,1,8.76,9,SWUC,SWUC,57.4966,-19.4069,33.3288,15.1948,-4.0206,141.1929,748.2946,638.4167,712.9143,672.1429,766.9524,752,652.9875,735.6667,0.9375,0.8125,0.75,0.875,0.8125,0.625,0.8125,0.75,0.79688,0.072917,0.18438,744.8341,673.6395,687.3375,693.0464,693.0559,726.3846
16-08-04.1SWUC,34,2,8.98,9,SWUC,SWUC,68.6274,36.4957,77.5058,118.8396,-0.76628,135.5484,666.4375,572.6875,563.1875,497,687.2589,634.8214,654.2589,626.25,0.875,1,1,1,0.9375,0.9375,0.9375,0.75,0.92969,0.036458,0.071875,667.1255,591.2174,598.4981,554.7217,572.6313,650.137
16-08-12.1SWUC,46,2,8.98,9,SWUC,SWUC,5.1111,67.2814,123.217,125.3981,-129.9796,215.6746,672.2167,636.9875,679,568.7,763.15,785.7292,790.3125,729.2321,0.6875,0.8125,0.9375,0.75,0.6875,0.875,0.8125,0.6875,0.78125,0.14583,0.20625,702.4167,681.8125,697.3056,614.5311,645.0839,768.3009
16-08-13.4SWUC,52,1,9.03,9,SWUC,SWUC,59.4451,40.4565,74.1247,89.4079,41.3989,76.5159,673.8571,613.1071,576.3125,563.625,684.0982,681.3125,662.1875,667.2946,0.9375,0.9375,1,1,0.9375,1,1,0.9375,0.96875,0.015625,0.034375,677.8409,627.1522,618.3958,586.6957,599.7946,673.9194
17-01-19.2SWUC,145,1,9.06,9,SWUC,SWUC,75.0254,63.2115,86.276,152.4804,93.6942,133.3943,576.6071,560.2143,547.5625,525.4375,696.4286,642.3571,615.4375,544.6667,0.9375,0.9375,1,1,0.875,0.875,1,0.875,0.9375,0.036458,0.075,626.3095,579.2702,551.2841,516.0587,538.5061,624.7821
16-12-24.4SWUC,116,2,9.09,9,SWUC,SWUC,75.5952,19.9217,42.8381,157.517,33.9897,58.0373,701.5179,690.1875,651.875,652.875,760.9429,686.875,698.6875,731.125,0.9375,1,1,0.875,0.75,1,1,1,0.94531,0.083333,0.075,739.6417,696.883,664.0464,676.9613,674.4828,717.3209
17-01-08.4SWUC,142,1,9.12,9,SWUC,SWUC,40.2973,69.2609,128.8413,66.7442,85.292,196.7842,536.1339,513.625,466,460.75,637.7143,627.5,615.125,548.2143,0.9375,1,1,1,0.875,0.875,0.9375,0.875,0.9375,0.020833,0.065625,558.4177,561.7826,518.1205,492.5217,487.9032,616.7446
16-12-31.2SWUC,127,1,9.29,9,SWUC,SWUC,67.3624,6.7165,59.9053,122.094,-43.9305,35.0218,622.881,501.5893,520.025,497.4286,641.8333,580.3542,596.3482,573.0268,0.8125,0.9375,0.8125,0.875,0.875,0.875,0.9375,0.9375,0.88281,0.10417,0.12812,610.975,538.4773,543.6126,531.7608,530.463,590.3682
16-08-06.1SWUC,38,2,9.35,9,SWUC,SWUC,44.7757,-79.2323,95.5412,38.2405,-65.6142,320.5116,622.2571,583.25,563.8333,658.6125,723.925,657.725,701.85,698.8,0.75,1,0.6875,0.8125,0.5625,0.5625,0.6875,0.8125,0.73438,0.17708,0.25,667.6447,585.5351,622.869,664.7674,603.8891,699.4302
17-01-19.1SWUC,144,1,9.36,9,SWUC,SWUC,9.7535,43.0158,97.589,54.0068,69.3079,190.2757,609.5,594.2292,588.2589,512.3214,707.5,648.4833,741.4286,615.7286,0.75,0.875,0.9375,0.9375,0.875,0.6875,0.875,0.75,0.83594,0.078125,0.16875,642.899,613.6974,633.1455,570.6816,585.3347,682.9236
17-01-07.1SWUC,136,1,9.42,9,SWUC,SWUC,51.9492,49.4299,39.1923,121.8694,118.425,134.1274,629.375,621.0804,586.5714,549.3958,679.9429,615.375,615.1339,627.4821,1,0.9375,0.875,0.875,0.75,0.625,0.9375,0.9375,0.86719,0.10938,0.13438,647.0964,641.3571,595.1472,591.9273,594,633.1923
16-08-10.3SWUC,44,2,9.43,9,SWUC,SWUC,77.0932,48.6925,-0.21449,214.8468,54.1954,-16.7376,742.7143,724.5143,699.4554,699.8125,741.9857,744.7708,665.5,704.7381,0.75,0.75,0.9375,0.875,0.75,0.875,0.875,0.8125,0.82813,0.14063,0.15625,738.025,721.5238,660.9318,672.8313,714.5891,714.3746
16-12-30.2SWUC,125,2,9.44,9,SWUC,SWUC,40.3333,86.6678,13.5659,62.0368,205.8867,104.369,682.9286,656.9524,656.2946,574.8571,709.3542,637.55,698.7857,555.8143,0.875,0.8125,0.9375,0.875,0.875,0.5625,0.9375,0.75,0.82813,0.083333,0.16875,709.8083,649.3437,669.475,562.6758,642.6071,656.1731
17-01-19.3SWUC,146,1,9.48,9,SWUC,SWUC,45.4025,-26.125,63.5327,68.5165,8.8227,141.7475,671.7768,650.375,668.5,694.1875,782.8333,713.75,712.5714,722.0089,0.9375,1,0.875,0.875,0.75,0.8125,0.875,0.9375,0.88281,0.098958,0.11875,712.7869,660.8068,667.3844,686.9318,669.208,732.7407
16-08-09.1SWUC,40,2,9.49,9,SWUC,SWUC,50.8332,97.3386,88.0176,114.1624,87.7465,129.2561,727,686.0476,645.8125,557.3125,739.6667,768.3393,725.6548,730.2619,0.875,0.8125,0.875,0.875,0.75,0.9375,0.8125,0.8125,0.84375,0.083333,0.13125,723.5288,713.881,672.6957,616.5424,653.8867,741.9043
16-07-25.1SWUC,11,2,9.59,10,SWUC,SWUC,76.8914,68.2567,89.6142,42.0223,-254.1377,683.738,811.1333,768.25,696.2292,672.8833,873.0833,799.9429,816.8571,862.875,0.5,0.6875,0.6875,0.6875,0.5625,0.75,0.5,0.3125,0.58594,0.34896,0.38125,779.9747,762.6234,703.0833,694.3667,732.4525,822.0667
16-08-13.1SWUC,48,1,9.61,10,SWUC,SWUC,110.7807,84.8518,93.7664,391.6326,48.4574,98.0892,666.3333,570,545.9143,512.2708,702.45,685.8304,622.5238,638.9571,0.625,0.875,0.75,0.875,0.6875,0.9375,0.8125,0.75,0.78906,0.16667,0.23125,675.7756,619.6263,564.995,534.7745,566.4513,660.2177
16-08-10.1SWUC,42,1,9.76,10,SWUC,SWUC,73.4714,78.6347,70.5651,103.4026,-46.3052,129.9485,597.4732,596.5,538.5893,535.9143,673.8452,688,615.7,576.1429,0.9375,1,0.9375,0.75,0.8125,1,0.75,0.8125,0.875,0.057292,0.125,624.246,618.0625,550.7746,539.4278,571.5275,642.0926
